,RDVar,RDSkew,RDKurt,DR
05MAR2013,8.77835432210559e-05,0.7338066011307538,4.926011297595448,
06MAR2013,0.0001258467316615924,-1.0283215548001423,10.867472883989057,-0.009213248670024043
07MAR2013,5.164258962095388e-05,0.19226225259371008,3.3250453024355897,0.0017783522626038106
08MAR2013,4.524832862230681e-05,-1.0740404783322082,4.925177045088945,-0.0049876215840689575
11MAR2013,5.1957097817296605e-05,0.14595616813647702,4.335883162219926,-0.004653638756803691
12MAR2013,6.724955011961389e-05,0.2184373749893895,2.953468776958701,0.0014340776310319825
13MAR2013,4.4833559379010054e-05,0.295420203926791,2.764253140809102,0.00035830019657279166
14MAR2013,2.4355549705197868e-05,0.31355492563748316,3.634677676204213,0.007848882513267874
15MAR2013,1.6121724464416768e-05,0.4802713255661037,3.4661418614756365,-0.00355999445237698
18MAR2013,5.004904023016723e-05,0.6728229065262302,3.9590347547641964,0.0021374847382449325
19MAR2013,5.1103430793138665e-05,-0.12169171398571449,5.070541946653959,0.0028428776178852644
20MAR2013,7.35054272897711e-05,-0.6347948718897677,3.838928963593267,0.004955841952729578
21MAR2013,6.954930526182575e-05,-0.5083154135935598,5.6889369968997,-0.00744259876022646
22MAR2013,3.5112171008583405e-05,0.32897099780821937,5.280226102979509,0.004967747826902347
25MAR2013,8.551867511946202e-05,-0.0068885563005705586,3.121620097563195,-0.003190862172379294
26MAR2013,3.315622025520748e-05,-1.099334601701387,4.977148769248466,0.0
27MAR2013,2.8042881730231576e-05,1.1153060869569051,4.499637738145942,0.007429515042558954
28MAR2013,5.229471863635503e-05,-0.1489461294192632,4.548404208387969,0.008424103219491386
01APR2013,3.473017159100216e-05,0.05641998687898025,7.9496293670773195,0.0
02APR2013,4.3714424733086364e-05,0.6622393359831422,3.7002632951670638,0.006619181012927022
03APR2013,6.82401745552262e-05,0.1190355712753187,3.8598863846706486,-0.008368253655136826
04APR2013,4.679776340958468e-05,0.598075543124098,4.741416545622094,0.0013995346009481047
05APR2013,8.212731598293198e-05,1.3484748348305742,6.994490375772882,0.0034905290250479837
08APR2013,3.6441596229690266e-05,0.5675057814572412,5.736257948705112,-0.0038402290902679326
09APR2013,0.00024324865306843847,0.5022639810963859,4.71074104353739,0.03505500930856975
10APR2013,0.00016096356782471712,1.110907376787224,5.208312225309652,0.022375580898886138
11APR2013,0.00012795811571112223,-0.5022224659458352,5.621928946192634,-0.0452629166556866
12APR2013,0.00010135490234859566,0.8244593429077943,8.84855481697788,-0.005196446530159715
15APR2013,0.00011798334042529898,0.12921032485356373,3.5551100483531637,-0.003479399942557748
16APR2013,0.0001388796574537658,0.2502778953867894,5.33643054195379,0.009712099663525375
17APR2013,0.0001626462133457157,-0.05148507043873525,2.7706702256253903,-0.004844456633288363
18APR2013,0.00018059104332982626,-2.90828404792311,22.65935751261601,-0.001388243087679264
19APR2013,0.0002317106877909051,0.7680304252577577,9.184038955156444,0.03347294605742457
22APR2013,0.0002701048301919256,-0.2755001071323889,10.381694707910905,0.03498712432815321
23APR2013,0.0003519518134391133,-0.09621281692086986,27.632487669702385,-0.007488209984106042
24APR2013,0.00015543795672734808,1.943418410849429,10.880189438632646,0.0372074698557876
25APR2013,0.00047057384084679075,1.2089354821466523,6.4742021290259535,0.005651643316924471
26APR2013,0.00014455387178703046,-0.7267873890271631,4.796072066153611,-0.004707356555501807
29APR2013,0.00012437428485524536,0.735315616591757,4.613378129998209,0.02546722877604335
